HSCode,AppliedTariff
292021,6.5
292130,6.5
292212,6.5
292218,6.5
292221,6.5
293154,6.5
293332,5.25
293721,4.0
293962,4.0
300640,5.0
310311,4.0
320414,6.5
320641,6.5
340700,7.66666666666667
350610,10.0
350790,6.0
382212,3.0
382219,3.0
382489,6.5
382541,6.5
382790,6.5
390421,6.5
390529,10.0
390721,6.5
390729,6.5
391400,6.5
391990,4.33333333333333
392043,6.5
392069,10.0
392610,10.0
400610,8.0
400690,11.0
401310,15.0
401590,9.0
410631,14.0
430310,10.0
440139,0.0
440729,0.0
440921,4.0
441011,4.0
441292,6.0
441600,12.0
441811,4.0
441889,4.0
450110,6.0
470630,0.0
480220,6.0
480593,6.0
480610,6.0
481031,5.0
481190,6.0
482361,5.0
520419,5.0
520521,5.0
521041,8.0
521225,8.0
530290,6.0
530500,4.75
540234,5.0
540832,8.0
540833,8.0
550190,5.0
550610,5.0
551423,8.0
560122,8.0
560312,8.0
560313,8.0
560490,5.0
560729,5.0
580132,8.0
600536,8.0
600543,8.0
610441,6.0
610444,6.0
610721,6.0
610729,6.0
610819,6.0
610822,6.0
611120,10.0
620339,6.0
620453,6.0
621111,6.0
621320,6.0
621420,6.0
630251,6.0
630420,6.0
630520,6.0
680710,10.0
681490,8.0
700510,15.0
700521,15.0
701020,14.0
701090,14.0
701914,5.0
711719,8.0
711890,0.0
720229,2.0
720390,2.0
721922,6.0
722592,7.0
730820,8.0
731414,8.0
731420,7.0
750521,6.0
750610,6.0
780419,6.0
790400,6.0
810320,6.0
810530,4.0
810999,8.0
811241,3.0
820231,8.0
820420,8.0
821420,7.0
830210,9.0
830260,9.0
830520,7.0
840120,1.0
840790,14.0
840890,6.0
840991,5.33333333333333
841210,6.5
841583,8.0
841630,8.0
841911,8.0
841990,2.0
842790,9.0
843131,3.0
843139,5.0
843352,8.0
843360,5.0
843910,8.0
844250,0.0
844540,8.0
846022,9.0
846120,12.0
846596,9.0
846694,6.0
847890,8.0
848240,8.0
850180,7.75
850213,10.0
850730,10.0
851590,3.0
851840,0.0
851930,7.0
852712,0.0
853010,8.0
853222,0.0
853661,10.0
853910,8.0
854519,10.0
854999,6.5
860691,5.0
860719,3.0
860800,3.5
870192,8.0
870451,15.0
870894,6.0
870911,10.0
871200,6.14285714285714
871499,5.0
900691,7.4
902300,0.0
902789,0.0
902890,0.0
911440,14.0
940179,0.0
940360,0.0
940383,0.0
940542,8.0
940620,8.0
950840,6.0
961220,10.0
961620,6.0
340120,6.5
360330,9.0
360350,9.0
370310,18.0
380910,10.0
381010,6.5
382590,6.5
382761,6.5
390140,6.5
391211,6.5
391722,10.0
401120,10.0
401150,20.0
401213,20.0
410150,6.0
410621,14.0
410792,5.0
420231,6.0
440342,0.0
440726,0.0
442120,0.0
442199,0.0
470730,0.0
480100,5.0
480519,6.0
481720,5.0
482030,5.0
510400,10.0
511230,8.0
520100,40.0
520531,5.0
520546,5.0
520852,8.0
520922,8.0
521111,8.0
531100,8.0
540253,5.0
540263,5.0
540269,5.0
