HSCode,AppliedTariff
292021,12.0
292130,12.0
292212,12.0
292218,12.0
292221,12.0
293154,12.0
293332,12.0
293721,12.0
293962,12.0
300640,12.0
310311,12.0
320414,12.0
320641,12.0
340700,12.0
350610,12.0
350790,12.0
370253,12.0
382212,12.0
382219,12.0
382489,12.0
382541,12.0
382790,12.0
390421,12.0
390529,12.0
390721,12.0
390729,12.0
391400,12.0
391990,12.0
392043,12.0
392069,12.0
392610,12.0
400610,12.0
400690,12.0
401310,12.0
401590,12.0
410631,12.0
430310,12.0
440139,12.0
440729,12.0
440921,12.0
441011,12.0
441292,12.0
441600,12.0
441811,12.0
441889,12.0
450110,12.0
470630,12.0
480220,12.0
480593,12.0
480610,12.0
481031,12.0
481190,12.0
482361,12.0
520419,12.0
520521,12.0
521041,12.0
521225,12.0
530290,12.0
530500,12.0
540234,12.0
540832,12.0
540833,12.0
550190,12.0
550610,12.0
551423,12.0
560122,12.0
560312,12.0
560313,12.0
560490,12.0
560729,12.0
580132,12.0
600536,12.0
600543,12.0
610441,12.0
610444,12.0
610721,12.0
610729,12.0
610819,12.0
610822,12.0
611120,12.0
620339,12.0
620453,12.0
621111,12.0
621320,12.0
621420,12.0
630251,12.0
630420,12.0
630520,12.0
680710,12.0
681490,12.0
700510,12.0
700521,12.0
701020,12.0
701090,12.0
701914,12.0
711719,12.0
711890,12.0
720229,12.0
720390,12.0
721922,12.0
722592,12.0
730820,12.0
731414,12.0
731420,12.0
750521,12.0
750610,12.0
780419,12.0
790400,12.0
810320,12.0
810530,12.0
810999,12.0
811241,12.0
820231,12.0
820420,12.0
821420,12.0
830210,12.0
830260,12.0
830520,12.0
840120,12.0
840790,12.0
840890,12.0
840991,12.0
841210,12.0
841583,12.0
841630,12.0
841911,12.0
841990,12.0
842790,12.0
843131,12.0
843139,12.0
843352,12.0
843360,12.0
843910,12.0
844250,12.0
844540,12.0
846022,12.0
846120,12.0
846596,12.0
846694,12.0
847890,12.0
848240,12.0
850180,12.0
850213,12.0
850730,12.0
851590,12.0
851840,12.0
851930,12.0
852712,12.0
853010,12.0
853222,12.0
853661,12.0
853910,12.0
854519,12.0
854999,12.0
860691,12.0
860719,12.0
860800,12.0
870192,12.0
870451,12.0
870894,12.0
870911,12.0
871200,12.0
871499,12.0
900691,12.0
902300,12.0
902789,12.0
902890,12.0
911440,12.0
940179,12.0
940360,12.0
940383,12.0
940542,12.0
940620,12.0
950840,12.0
961220,12.0
961620,12.0
340120,12.0
360330,12.0
360350,12.0
370310,12.0
380910,12.0
381010,12.0
382590,12.0
382761,12.0
390140,12.0
391211,12.0
391722,12.0
401120,12.0
401150,12.0
401213,12.0
410150,12.0
410621,12.0
410792,12.0
420231,12.0
440342,12.0
440726,12.0
442120,12.0
442199,12.0
470730,12.0
480100,12.0
480519,12.0
481720,12.0
482030,12.0
510400,12.0
511230,12.0
520100,12.0
520531,12.0
520546,12.0
