HSCode,AppliedTariff
292021,5.0
292130,5.0
292212,5.0
292218,5.0
292221,5.0
293154,5.0
293332,5.0
293721,5.0
293962,5.0
300640,5.0
310311,5.0
320414,5.0
320641,5.0
340700,5.0
350610,5.0
350790,5.0
370253,5.0
382212,5.0
382219,5.0
382489,5.0
382541,5.0
382790,5.0
390421,5.0
390529,5.0
390721,5.0
390729,5.0
391400,5.0
391990,5.0
392043,5.0
392069,5.0
392610,5.0
400610,5.0
400690,5.0
401310,5.0
401590,5.0
410631,5.0
430310,5.0
440139,5.0
440729,5.0
440921,5.0
441011,5.0
441292,5.0
441600,5.0
441811,5.0
441889,5.0
450110,5.0
470630,5.0
480220,5.0
480593,5.0
480610,5.0
481031,5.0
481190,5.0
482361,5.0
520419,5.0
520521,5.0
521041,5.0
521225,5.0
530290,5.0
530500,5.0
540234,5.0
540832,5.0
540833,5.0
550190,5.0
550610,5.0
551423,5.0
560122,5.0
560312,5.0
560313,5.0
560490,5.0
560729,5.0
580132,5.0
600536,5.0
600543,5.0
610441,5.0
610444,5.0
610721,5.0
610729,5.0
610819,5.0
610822,5.0
611120,5.0
620339,5.0
620453,5.0
621111,5.0
621320,5.0
621420,5.0
630251,5.0
630420,5.0
630520,5.0
680710,5.0
681490,5.0
700510,5.0
700521,5.0
701020,5.0
701090,5.0
701914,5.0
711719,5.0
711890,5.0
720229,5.0
720390,5.0
721922,5.0
722592,5.0
730820,5.0
731414,5.0
731420,5.0
750521,5.0
750610,5.0
780419,5.0
790400,5.0
810320,5.0
810530,5.0
810999,5.0
811241,5.0
820231,5.0
820420,5.0
821420,5.0
830210,5.0
830260,5.0
830520,5.0
840120,5.0
840790,5.0
840890,5.0
840991,5.0
841210,5.0
841583,5.0
841630,5.0
841911,5.0
841990,5.0
842790,5.0
843131,5.0
843139,5.0
843352,5.0
843360,5.0
843910,5.0
844250,5.0
844540,5.0
846022,5.0
846120,5.0
846596,5.0
846694,5.0
847890,5.0
848240,5.0
850180,5.0
850213,5.0
850730,5.0
851590,5.0
851840,5.0
851930,5.0
852712,5.0
853010,5.0
853222,5.0
853661,5.0
853910,5.0
854519,5.0
854999,5.0
860691,5.0
860719,5.0
860800,5.0
870192,5.0
870451,5.0
870894,5.0
870911,5.0
871200,5.0
871499,5.0
900691,5.0
902300,5.0
902789,5.0
902890,5.0
911440,5.0
940179,5.0
940360,5.0
940383,5.0
940542,5.0
940620,5.0
950840,5.0
961220,5.0
961620,5.0
340120,5.0
360330,5.0
360350,5.0
370310,5.0
380910,5.0
381010,5.0
382590,5.0
382761,5.0
390140,5.0
391211,5.0
391722,5.0
401120,5.0
401150,5.0
401213,5.0
410150,5.0
410621,5.0
410792,5.0
420231,5.0
440342,5.0
440726,5.0
442120,5.0
442199,5.0
470730,5.0
480100,5.0
480519,5.0
481720,5.0
482030,5.0
510400,5.0
511230,5.0
520100,5.0
520531,5.0
520546,5.0
520852,5.0
520922,5.0
521111,5.0
531100,5.0
540253,5.0
540263,5.0
540269,5.0
550912,5.0
551319,5.0
551443,5.0
551631,5.0
551634,5.0
560221,5.0
560900,5.0
570190,5.0
570299,5.0
570329,5.0
570490,5.0
580632,5.0
600641,5.0
610341,5.0
610349,5.0
610449,5.0
610620,5.0
620120,5.0
620469,5.0
621132,5.0
630900,5.0
631010,5.0
640319,5.0
640510,5.0
650699,5.0
681019,5.0
681389,5.0
690721,5.0
700100,5.0
700232,5.0
700910,5.0
710491,5.0
711711,5.0
720211,5.0
720529,5.0
721050,5.0
721430,5.0
722511,5.0
722599,5.0
730110,5.0
730711,5.0
730840,5.0
731589,5.0
731811,5.0
731823,5.0
732111,5.0
732599,5.0
740620,5.0
750711,5.0
