HSCode,AppliedTariff
121300,0.0
150120,4.355
150210,1.0
150300,0.0
151530,2.0
151790,11.3425
160241,21.145
160431,20.0
160562,25.0
200520,12.0
200929,30.7575
200949,21.3733333333333
200969,211.438571428571
210390,2.0
230310,9.89
230400,0.0
250860,0.0
252230,0.0
252530,0.0
260120,0.0
261400,0.0
262099,0.0
271390,0.0
281119,2.0
281219,4.0
281810,4.0
281990,0.0
282630,0.0
282760,4.0
283010,4.0
283911,0.0
284441,0.0
290219,0.0
290375,4.0
290377,4.0
290382,4.0
291100,0.0
291219,4.0
291260,4.0
291536,4.0
291736,6.0
291816,6.0
292250,6.0
292330,6.0
292412,6.0
293291,6.0
293352,6.0
293379,6.0
293420,6.0
293628,0.0
300431,0.0
300590,0.0
320413,6.0
330112,0.0
330499,0.0
350510,14.6833333333333
350691,3.0
380210,0.0
380991,6.0
381129,4.0
382790,6.0
390421,6.0
390529,6.0
390530,6.0
390761,6.0
392061,6.0
392111,6.0
392330,6.0
400251,0.0
401310,0.0
410150,0.0
410330,0.0
430230,2.0
441241,10.0
441251,8.0
450200,0.0
470319,0.0
470693,0.0
480220,0.0
480452,0.0
480840,0.0
481022,0.0
481810,0.0
481890,0.0
482090,0.0
482210,0.0
500720,5.81818181818182
510111,0.0
510531,0.0
510620,3.33333333333333
520524,0.0
520535,0.0
520849,8.0
521143,8.0
540341,0.0
550520,0.0
551323,8.0
551643,8.0
560221,6.0
560313,4.0
560410,4.0
560819,8.0
580127,8.0
580230,0.0
580430,8.0
600110,8.0
600121,8.0
610342,12.0
610343,12.0
610419,12.0
611011,11.3333333333333
620342,12.0
620429,12.0
620469,12.0
620610,12.0
630190,12.0
640212,16.0
640419,16.0
680423,0.0
680690,0.0
680710,0.0
680919,0.0
681140,0.0
681512,0.0
690722,4.0
690919,4.0
691090,6.0
691310,6.0
701090,0.0
701337,10.0
701510,0.0
711719,4.0
711810,0.0
720260,0.0
720410,0.0
720918,0.0
721190,0.0
721230,0.0
721912,0.0
721913,0.0
730424,0.0
730531,0.0
731021,0.0
732410,0.0
740620,0.0
740990,0.0
750511,0.0
760612,6.0
760820,6.0
790112,0.0
800700,0.0
810199,0.0
810295,0.0
810399,0.0
811090,0.0
820220,0.0
820412,0.0
820840,0.0
821210,2.0
831110,0.0
840211,0.0
840490,0.0
840610,0.0
840681,0.0
840733,2.0
841182,0.0
841451,2.0
841810,0.0
841840,0.0
842111,0.0
842139,0.0
843069,0.0
843610,0.0
844399,0.0
844839,0.0
845939,0.0
845941,0.0
845949,0.0
846211,0.0
846594,2.0
847021,0.0
847983,0.0
848630,0.0
850870,0.0
851150,2.0
851180,2.0
851419,0.0
851718,0.0
852729,0.0
853669,0.666666666666667
854419,2.0
854442,1.0
854620,0.0
860210,0.0
860699,0.0
870110,2.0
870195,3.0
870441,8.4
870510,0.0
870590,0.0
871496,4.23333333333333
880212,0.0
880694,0.0
900390,0.0
900669,0.0
901820,0.0
902610,0.0
910212,2.5
910812,0.0
911090,0.0
911110,0.0
930320,2.0
930591,0.0
940410,2.0
940549,2.66666666666667
950640,2.0
950662,2.0
950730,2.0
960820,2.0
961700,0.0
961900,0.0
970191,0.0
030256,6.0
030274,0.0
030364,6.0
030811,10.0
040520,17.5733333333333
040590,59.425
060319,8.0
060490,0.0
070110,4.0
070320,66.28
070890,10.0
070920,10.0
071231,12.0
071290,8.6
080121,0.0
081060,8.0
090121,6.0
090510,6.0
100191,26.8566666666667
110429,12.7990909090909
121140,0.0
121160,0.0
151491,4.0
160220,13.0
160559,20.0
170114,68.72
170250,53.58
180100,0.0
180610,14.4
200850,20.7483333333333
200931,14.0
210320,10.0
220860,0.0
252910,0.0
270810,0.0
282490,0.0
282570,4.0
283324,4.0
283329,4.0
283720,0.0
290122,0.0
290432,0.0
290512,0.0
290541,4.0
290549,4.0
291479,4.0
291513,4.0
291830,6.0
292122,6.0
292425,6.0
292511,0.0
292690,6.0
293020,6.0
293145,6.0
293391,3.0
300190,0.0
