HSCode,AppliedTariff
252490,0.0
252310,0.0
251710,0.0
251611,0.0
210330,0.59
210320,8.8
200961,3.86
200929,16.63
200870,16.5
200599,7.26
190410,1.1
170250,9.6
170211,6.4
160557,0.0
160551,1.56666666666667
151610,0.23
151219,4.19
150990,1.075
150920,0.95
150600,2.3
121299,0.0966666666666667
121190,2.17666666666667
120799,0.0
120729,1.23
120600,0.0
110610,8.3
110313,0.27
100390,0.315
100191,2.8
100111,0.29
090520,0.0
081350,14.0
081210,6.28
081020,0.015
080840,0.02
080242,0.0
071239,1.942
071231,2.265
070511,0.54
050690,0.0
030819,0.0
030759,0.0
030721,0.0
030631,0.0
030456,0.0
030449,0.0
030232,0.0
020990,3.2
020622,0.0
020450,0.0
010690,0.0
960820,4.0
950829,0.0
950823,0.0
950611,0.866666666666667
950490,0.0
940531,8.0
940430,6.85
920890,5.3
920510,2.9
911490,5.85
911120,7.0
901320,0.0
901120,5.55
900659,2.16
900653,0.0
880400,3.0
870710,2.5
870360,2.5
870332,2.5
854442,0.866666666666667
853921,1.3
853669,1.35
853229,0.0
853010,0.0
852862,0.0
852799,0.0
852550,0.0
851679,2.7
851531,1.6
851090,2.44
850421,0.0
848690,0.0
848520,3.1
848420,3.9
848210,5.7
848079,1.55
847983,1.25
847971,0.0
847529,0.0
847510,0.0
847490,0.0
847230,1.8
847170,0.0
846620,4.15
846610,3.9
846510,2.4
846224,4.4
845140,3.5
844314,2.2
843991,0.0
843210,0.0
842641,0.0
842199,0.0
841933,0.0
841221,0.0
831130,0.0
830810,2.96
821300,11.5866666666667
821290,0.0
820411,9.0
810330,0.0
790112,2.25
761520,3.8
760691,2.85
740819,3.0
732410,1.7
732111,1.9
731990,1.45
731816,0.0
731414,0.0
730621,0.0
730611,0.0
722211,0.0
721621,0.0
721240,0.0
720915,0.0
720851,0.0
720825,0.0
720510,0.0
720410,0.0
720221,2.575
711311,8.26666666666667
710310,5.25
701913,3.54
701322,9.825
700800,3.9
700330,6.3
690911,2.25
690722,9.4
690721,9.4
690320,0.0
680990,0.0
640110,37.5
630612,8.8
630319,8.35
630240,6.6
630229,4.5
621590,5.0
621132,8.1
611231,25.9
611220,18.25
610510,19.7
610462,12.6
610461,14.9
610423,21.84
610130,14.7666666666667
580810,2.96
570249,1.33333333333333
560811,8.0
560500,10.35
551599,15.1666666666667
551449,8.5
551349,12.3333333333333
551312,14.9
551090,10.9333333333333
540772,14.9
540771,14.9
540743,9.995
540341,9.1
540211,8.4
530310,0.0
530121,0.07
520921,7.7
520621,9.2
520514,8.25
490520,0.0
482190,0.0
482050,0.0
481910,0.0
481620,0.0
481490,0.0
441912,3.2
441882,3.2
441700,1.275
441600,1.06666666666667
440141,0.0
440121,0.0
420221,8.1
420211,8.0
411310,2.6
410799,3.54
401035,4.74
400610,2.9
392590,5.3
392390,3.0
392119,6.5
391530,0.0
391390,2.46
390330,6.5
390220,3.25
382769,3.7
382765,3.7
382739,3.7
382450,0.0
382319,2.75
381600,2.0
370298,3.7
360350,0.2
320810,3.7
310540,0.0
310490,0.0
300420,0.0
293959,0.0
293430,3.25
293339,3.505
010639,1.8
020610,0.0
020680,0.0
030214,0.0
030219,0.0
030234,0.0
030255,1.5
030284,1.5
030312,0.0
030325,0.0
030442,0.0
030451,0.0
030469,0.0
030479,0.0
030497,6.0
030554,0.0
030562,0.0
030634,0.0
030695,0.0
030729,0.0
040719,0.09
060120,0.805
060319,6.4
070920,13.15
071340,0.595
080261,0.83
080270,0.65
080620,2.07666666666667
081060,2.2
081120,6.75
090411,0.0
100510,0.0
120770,0.01
121160,0.0
130120,0.0
130231,0.0
150290,0.18
151321,0.0
151411,6.4
160553,0.0
180400,0.0
200850,19.9
200990,3.31
250100,0.0
252321,0.0
261310,2.13
262099,0.633333333333333
271121,0.0
281213,3.7
282520,3.7
282732,0.0
283410,4.3
283692,4.2
284441,0.0
284520,0.0
290129,0.0
290260,0.0
290373,3.7
290378,1.85
290511,2.75
291419,2.0
291479,1.36363636363636
292231,0.0
292243,3.25
292412,1.85
292421,2.78571428571429
292425,3.25
292630,3.25
293332,6.5
293399,2.54782608695652
293520,6.5
293729,0.0
300660,0.0
321410,3.7
330124,4.2
330300,0.0
330430,0.0
330510,0.0
330590,0.0
330690,0.0
350300,4.88
350691,1.05
360200,0.0
360320,3.0
370241,3.7
370253,3.7
380992,6.25
382486,3.25
382762,3.7
400941,2.5
401219,2.46666666666667
401290,1.38
401410,0.0
401519,6.8
410190,2.8
420292,12.2066666666667
440139,0.0
440396,0.0
440929,1.0125
441892,3.2
442090,1.875
470319,0.0
470500,0.0
470710,0.0
470790,0.0
480256,0.0
480257,0.0
480261,0.0
480429,0.0
480540,0.0
481013,0.0
481890,0.0
500720,0.0
510539,5.94
511119,14.0
520531,5.8
520615,9.2
520822,9.53333333333333
520919,6.5
521225,0.0
540120,11.4
540220,8.15
540411,6.9
540600,7.5
540730,4.0
550311,4.3
550320,4.3
550640,5.0
550700,5.0
551011,9.0
551423,14.9
551624,14.9
551632,18.5
560729,3.6
580410,3.0
580500,0.0
590410,0.0
590700,2.66666666666667
590800,3.4
600192,17.2
610433,23.11
610443,15.45
610451,14.9
610819,3.85
611239,13.2
611596,16.7
611780,7.54
620339,14.2
620433,14.76
621120,16.8266666666667
621520,13.7
630790,3.65
640199,27.5
640291,29.5107692307692
640620,2.7
640690,4.56
650200,3.5775
680293,3.7
680911,0.0
690919,2.0
691190,5.4
701399,15.18
701710,2.3
711019,0.0
711320,5.8
720610,0.0
720925,0.0
721012,0.0
721119,0.0
721129,0.0
721391,0.0
721510,0.0
721632,0.0
721891,0.0
721932,0.0
722012,0.0
722511,0.0
730449,0.0
730721,4.45
732611,0.0
740200,0.0
740929,1.9
760692,4.75
761100,2.6
780420,0.0
790111,1.5
810590,3.7
810991,3.7
811269,2.2
811300,3.7
820240,3.6
820530,5.35
821210,0.0
830220,2.85
830241,3.76666666666667
830510,2.9
830890,2.2
840310,0.0
840690,2.5
840999,1.25
841111,0.0
841920,0.0
841990,0.666666666666667
843041,0.0
843120,0.0
843680,0.0
844180,0.0
844839,1.23333333333333
845510,0.0
846022,4.4
846781,0.0
847090,0.0
847350,0.0
847431,0.0
847521,0.0
848291,4.4
848330,2.25
848620,0.0
848790,3.9
850120,2.16666666666667
850220,1.0
850511,2.1
850750,1.7
851240,2.5
851690,1.60833333333333
851771,0.0
851840,0.0
851930,1.95
851989,0.0
853990,2.6
854089,3.7
854121,0.0
854129,0.0
854142,0.0
854190,0.0
854390,0.0
854511,0.0
854590,0.0
870830,1.25
871500,4.4
871690,2.93333333333333
890610,0.0
901290,0.0
901820,0.0
902690,0.0
902920,2.94
920120,4.7
920710,5.4
940149,0.0
940169,0.0
940290,0.0
950790,6.46
960190,1.45
960719,13.0
970290,0.0
293220,3.55833333333333
292424,0.0
292159,2.65
292151,3.71428571428571
291732,6.5
291634,4.875
291632,6.5
291590,2.27
291221,5.5
290949,2.02
290944,5.5
290529,3.06666666666667
290375,3.7
290344,1.85
290270,0.0
290230,0.0
284540,0.0
284321,3.7
283719,0.0
282530,5.5
282410,3.0
282200,0.1
281511,0.0
280200,0.0
271320,0.0
271114,0.0
262021,0.0
260900,0.0
252910,0.0
252620,0.0
250900,0.0
250410,0.0
250200,0.0
210610,6.4
210420,4.45
210112,11.806
180610,17.1675
160416,1.66666666666667
151800,5.115
151311,0.0
151211,4.34
121293,0.21
110811,0.78
100830,0.12
100290,0.0
090300,0.0
