HSCode,AppliedTariff
292021,10.0
292130,10.0
292212,10.0
292218,10.0
292221,10.0
293154,10.0
293332,10.0
293721,10.0
293962,10.0
300640,10.0
310311,10.0
320414,10.0
320641,10.0
340700,10.0
350610,10.0
350790,10.0
370253,10.0
382212,10.0
382219,10.0
382489,10.0
382541,10.0
382790,10.0
390421,10.0
390529,10.0
390721,10.0
390729,10.0
391400,10.0
391990,10.0
392043,10.0
392069,10.0
392610,10.0
400610,10.0
400690,10.0
401310,10.0
401590,10.0
410631,10.0
430310,10.0
440139,10.0
440729,10.0
440921,10.0
441011,10.0
441292,10.0
441600,10.0
441811,10.0
441889,10.0
450110,10.0
470630,10.0
480220,10.0
480593,10.0
480610,10.0
481031,10.0
481190,10.0
482361,10.0
520419,10.0
520521,10.0
521041,10.0
521225,10.0
530290,10.0
530500,10.0
540234,10.0
540832,10.0
540833,10.0
550190,10.0
550610,10.0
551423,10.0
560122,10.0
560312,10.0
560313,10.0
560490,10.0
560729,10.0
580132,10.0
600536,10.0
600543,10.0
610441,10.0
610444,10.0
610721,10.0
610729,10.0
610819,10.0
610822,10.0
611120,10.0
620339,10.0
620453,10.0
621111,10.0
621320,10.0
621420,10.0
630251,10.0
630420,10.0
630520,10.0
680710,10.0
681490,10.0
700510,10.0
700521,10.0
701020,10.0
701090,10.0
701914,10.0
711719,10.0
711890,10.0
720229,10.0
720390,10.0
721922,10.0
722592,10.0
730820,10.0
731414,10.0
731420,10.0
750521,10.0
750610,10.0
780419,10.0
790400,10.0
810320,10.0
810530,10.0
810999,10.0
811241,10.0
820231,10.0
820420,10.0
821420,10.0
830210,10.0
830260,10.0
830520,10.0
840120,10.0
840790,10.0
840890,10.0
840991,10.0
841210,10.0
841583,10.0
841630,10.0
841911,10.0
841990,10.0
842790,10.0
843131,10.0
843139,10.0
843352,10.0
843360,10.0
843910,10.0
844250,10.0
844540,10.0
846022,10.0
846120,10.0
846596,10.0
846694,10.0
847890,10.0
848240,10.0
850180,10.0
850213,10.0
850730,10.0
851590,10.0
851840,10.0
851930,10.0
852712,10.0
853010,10.0
853222,10.0
853661,10.0
853910,10.0
854519,10.0
854999,10.0
860691,10.0
860719,10.0
860800,10.0
870192,10.0
870451,10.0
870894,10.0
870911,10.0
871200,10.0
871499,10.0
900691,10.0
902300,10.0
902789,10.0
902890,10.0
911440,10.0
940179,10.0
940360,10.0
940383,10.0
940542,10.0
940620,10.0
950840,10.0
961220,10.0
961620,10.0
340120,10.0
360330,10.0
360350,10.0
370310,10.0
380910,10.0
381010,10.0
382590,10.0
382761,10.0
390140,10.0
391211,10.0
391722,10.0
401120,10.0
401150,10.0
401213,10.0
410150,10.0
410621,10.0
410792,10.0
420231,10.0
440342,10.0
440726,10.0
442120,10.0
442199,10.0
470730,10.0
480100,10.0
480519,10.0
481720,10.0
482030,10.0
510400,10.0
511230,10.0
520100,10.0
520531,10.0
520546,10.0
520852,10.0
520922,10.0
521111,10.0
531100,10.0
540253,10.0
540263,10.0
540269,10.0
550912,10.0
551319,10.0
551443,10.0
551631,10.0
551634,10.0
560221,10.0
560900,10.0
570190,10.0
570299,10.0
570329,10.0
570490,10.0
580632,10.0
600641,10.0
610341,10.0
610349,10.0
610449,10.0
610620,10.0
620120,10.0
620469,10.0
621132,10.0
630900,10.0
631010,10.0
640319,10.0
640510,10.0
650699,10.0
681019,10.0
681389,10.0
690721,10.0
700100,10.0
