hs_code,embedding_text
10110,"Live horses, asses, mules and hinnies - Pure-bred breeding animals, classified under live animals."
10111,"Live horses, asses, mules and hinnies Pure-bred breeding animals, classified under live animals."
10119,"Live horses, asses, mules and hinnies Other, classified under live animals."
10120,"Live horses, asses, mules and hinnies - Asses, mules and hinnies, classified under live animals."
10121,"Live horses, asses, mules and hinnies Pure-bred breeding animals, classified under live animals."
10129,"Live horses, asses, mules and hinnies Other, classified under live animals."
10130,"Live horses, asses, mules and hinnies - Asses, classified under live animals."
10190,"Live horses, asses, mules and hinnies - Other, classified under live animals."
10210,"Live bovine animals - Pure-bred breeding animals, classified under live animals."
10221,"Live bovine animals Pure-bred breeding animals, classified under live animals."
10229,"Live bovine animals Other, classified under live animals."
10231,"Live bovine animals Pure-bred breeding animals, classified under live animals."
10239,"Live bovine animals Other, classified under live animals."
10290,"Live bovine animals - Other, classified under live animals."
10310,"Live swine - Pure-bred breeding animals, classified under live animals."
10391,"Live swine Weighing less than 50 kg, classified under live animals."
10392,"Live swine Weighing 50 kg or more, classified under live animals."
10410,"Live sheep and goats - Sheep, classified under live animals."
10420,"Live sheep and goats - Goats, classified under live animals."
10511,"Live poultry, that is to say, fowls of the species Gallus domesticus, ducks, geese, turkeys and guinea fowls Fowls of the species Gallus domesticus, classified under live animals."
10512,"Live poultry, that is to say, fowls of the species Gallus domesticus, ducks, geese, turkeys and guinea fowls Turkeys, classified under live animals."
10513,"Live poultry, that is to say, fowls of the species Gallus domesticus, ducks, geese, turkeys and guinea fowls Ducks, classified under live animals."
10514,"Live poultry, that is to say, fowls of the species Gallus domesticus, ducks, geese, turkeys and guinea fowls Geese, classified under live animals."
10515,"Live poultry, that is to say, fowls of the species Gallus domesticus, ducks, geese, turkeys and guinea fowls Guinea fowls, classified under live animals."
10519,"Live poultry, that is to say, fowls of the species Gallus domesticus, ducks, geese, turkeys and guinea fowls Other, classified under live animals."
10591,"Live poultry, that is to say, fowls of the species Gallus domesticus, ducks, geese, turkeys and guinea fowls Fowls of the species Gallus domesticus, classified under live animals."
10592,"Live poultry, that is to say, fowls of the species Gallus domesticus, ducks, geese, turkeys and guinea fowls Fowls of the species Gallus domesticus, weighing not more than 2,000 g, classified under live animals."
10593,"Live poultry, that is to say, fowls of the species Gallus domesticus, ducks, geese, turkeys and guinea fowls Fowls of the species Gallus domesticus, weighing more than 2,000 g, classified under live animals."
10594,"Live poultry, that is to say, fowls of the species Gallus domesticus, ducks, geese, turkeys and guinea fowls Fowls of the species Gallus domesticus, classified under live animals."
10599,"Live poultry, that is to say, fowls of the species Gallus domesticus, ducks, geese, turkeys and guinea fowls Other, classified under live animals."
10600,"Other live animals, classified under live animals."
10611,"Other live animals Primates, classified under live animals."
10612,"Other live animals Whales, dolphins and porpoises (mammals of the order Cetacea); manatees and dugongs (mammals of the order Sirenia); seals, sea lions and walruses (mammals of the suborder Pinnipedia), classified under live animals."
10613,"Other live animals Camels and other camelids (Camelidae), classified under live animals."
10614,"Other live animals Rabbits and hares, classified under live animals."
10619,"Other live animals Other, classified under live animals."
10620,"Other live animals - Reptiles (including snakes and turtles), classified under live animals."
10631,"Other live animals Birds of prey, classified under live animals."
10632,"Other live animals Psittaciformes (including parrots, parakeets, macaws and cockatoos), classified under live animals."
10633,"Other live animals Ostriches; emus (Dromaius novaehollandiae), classified under live animals."
10639,"Other live animals Other, classified under live animals."
10641,"Other live animals Bees, classified under live animals."
10649,"Other live animals Other, classified under live animals."
10690,"Other live animals - Other, classified under live animals."
20110,"Meat of bovine animals, fresh or chilled - Carcases and half-carcases, classified under meat and edible meat offal."
20120,"Meat of bovine animals, fresh or chilled - Other cuts with bone in, classified under meat and edible meat offal."
20130,"Meat of bovine animals, fresh or chilled - Boneless, classified under meat and edible meat offal."
20210,"Meat of bovine animals, frozen - Carcases and half-carcases, classified under meat and edible meat offal."
20220,"Meat of bovine animals, frozen - Other cuts with bone in, classified under meat and edible meat offal."
20230,"Meat of bovine animals, frozen - Boneless, classified under meat and edible meat offal."
20311,"Meat of swine, fresh, chilled or frozen Carcases and half-carcases, classified under meat and edible meat offal."
20312,"Meat of swine, fresh, chilled or frozen Hams, shoulders and cuts thereof, with bone in, classified under meat and edible meat offal."
20319,"Meat of swine, fresh, chilled or frozen Other, classified under meat and edible meat offal."
20321,"Meat of swine, fresh, chilled or frozen Carcases and half-carcases, classified under meat and edible meat offal."
20322,"Meat of swine, fresh, chilled or frozen Hams, shoulders and cuts thereof, with bone in, classified under meat and edible meat offal."
20329,"Meat of swine, fresh, chilled or frozen Other, classified under meat and edible meat offal."
20410,"Meat of sheep or goats, fresh, chilled or frozen - Carcases and half-carcases of lamb, fresh or chilled, classified under meat and edible meat offal."
20421,"Meat of sheep or goats, fresh, chilled or frozen Carcases and half-carcases, classified under meat and edible meat offal."
20422,"Meat of sheep or goats, fresh, chilled or frozen Other cuts with bone in, classified under meat and edible meat offal."
20423,"Meat of sheep or goats, fresh, chilled or frozen Boneless, classified under meat and edible meat offal."
20430,"Meat of sheep or goats, fresh, chilled or frozen - Carcases and half-carcases of lamb, frozen, classified under meat and edible meat offal."
20441,"Meat of sheep or goats, fresh, chilled or frozen Carcases and half-carcases, classified under meat and edible meat offal."
20442,"Meat of sheep or goats, fresh, chilled or frozen Other cuts with bone in, classified under meat and edible meat offal."
